Time (s),W,X,Y,Z
4.760534763,-0.4032378,-0.08189576,0.238859,-0.8776482
4.780547142,-0.4051439,-0.07761776,0.2331976,-0.8786811
4.800559998,-0.4074363,-0.07208628,0.2262754,-0.8799012
4.820572853,-0.4100758,-0.06962844,0.2186924,-0.8807901
4.840585709,-0.4135753,-0.06639002,0.2105272,-0.8813931
4.860598087,-0.4168105,-0.06325073,0.2026998,-0.8819346
4.880611420,-0.4203076,-0.06066475,0.1942441,-0.8823595
4.900623798,-0.4235823,-0.05917117,0.1872911,-0.8823982
4.920637131,-0.4265027,-0.05859543,0.1812872,-0.8822837
4.940649509,-0.4293382,-0.05625052,0.172784,-0.8827672
4.960662365,-0.4320798,-0.05433512,0.1648583,-0.8830652
4.980675220,-0.4344775,-0.05251062,0.1578779,-0.8832747
5.000688076,-0.4369442,-0.04988254,0.1502748,-0.8835363
5.020700455,-0.4389952,-0.04828051,0.144763,-0.8835291
5.040713787,-0.441067,-0.0444521,0.1354903,-0.8841685
5.060726166,-0.443119,-0.0431702,0.1294636,-0.884109
5.080738544,-0.4446661,-0.0428065,0.1300159,-0.8832685
5.100751877,-0.4460564,-0.0446388,0.1278669,-0.8827904
5.120764256,-0.4476408,-0.04143097,0.1194751,-0.8833202
5.140777588,-0.4493489,-0.03793649,0.1103105,-0.8838018
5.160789967,-0.4506212,-0.03886986,0.109053,-0.8832694
5.180802822,-0.4519335,-0.03891833,0.1063017,-0.8829321
5.200815201,-0.4532233,-0.03856301,0.1039383,-0.8825678
5.220828533,-0.454665,-0.03699663,0.09768404,-0.8826078
5.240840912,-0.4563022,-0.03498137,0.09190885,-0.8824654
5.260854244,-0.457844,-0.03431942,0.08596651,-0.8822916
5.280866623,-0.4592846,-0.03243735,0.08235308,-0.8819588
5.300879955,-0.4607116,-0.03289474,0.07975185,-0.8814364
5.320892334,-0.4618211,-0.03279156,0.07932872,-0.8808977
5.340905190,-0.4631773,-0.03447669,0.07871645,-0.8801759
5.360917568,-0.4646377,-0.03210873,0.07190651,-0.8800784
5.380930901,-0.465912,-0.03343765,0.06789226,-0.879674
5.400943279,-0.4670208,-0.03535084,0.06726423,-0.8790592
5.420955658,-0.4679638,-0.03512486,0.06815057,-0.8784984
5.440968990,-0.4690128,-0.03515579,0.06761849,-0.8779786
5.460981369,-0.4702182,-0.03583078,0.06576778,-0.877447
5.480994701,-0.471213,-0.03808139,0.06500506,-0.8768753
5.501007080,-0.472068,-0.04034688,0.06662182,-0.8761925
5.521019935,-0.4729531,-0.04203857,0.06820296,-0.8755136
5.541032791,-0.4737983,-0.04613383,0.06919963,-0.874772
5.561045647,-0.474321,-0.04578937,0.07291773,-0.8742046
5.581058025,-0.4751519,-0.04599712,0.07350038,-0.8736934
5.601071358,-0.4756021,-0.04541865,0.0770809,-0.8731701
5.621083736,-0.4763325,-0.04599396,0.0796129,-0.8725144
5.641097069,-0.4773918,-0.04135163,0.08310234,-0.8718423
5.661109447,-0.4781337,-0.03499923,0.08932651,-0.871098
5.681122303,-0.4790437,-0.0280627,0.08904756,-0.8708777
5.701134682,-0.4800528,-0.02035334,0.08571392,-0.8708708
5.721148014,-0.4810259,-0.01212772,0.08304331,-0.870746
5.741160393,-0.4817466,-0.008258309,0.07854614,-0.8708101
5.761173725,-0.4830219,-0.002971657,0.07270987,-0.8706445
5.781186104,-0.4853021,0.001281767,0.06635668,-0.8698878
5.801198482,-0.4875767,0.006717353,0.05878024,-0.8691355
5.821211815,-0.4901908,0.01060169,0.05261792,-0.8680204
5.841224194,-0.4926127,0.01543212,0.0463945,-0.8669313
5.861237049,-0.4950793,0.01891964,0.04403773,-0.8655788
5.881249905,-0.4966491,0.02918481,0.04213176,-0.8644886
5.901262760,-0.4987693,0.03966361,0.03995189,-0.8629528
5.921275139,-0.4975649,0.06581628,0.04531996,-0.8617837
5.941288471,-0.4961349,0.1054633,0.05925187,-0.8578137
5.961300850,-0.4892571,0.1685536,0.09866592,-0.8480033
5.981314182,-0.4761302,0.2487652,0.1523451,-0.827547
6.001326561,-0.4569846,0.3461582,0.210273,-0.7897795
6.021339417,-0.4225794,0.4533828,0.2730519,-0.733444
6.041352272,-0.3737722,0.5619924,0.3373056,-0.6536896
6.061365128,-0.3126063,0.6608415,0.3971638,-0.5517728
6.081377506,-0.2422038,0.7418174,0.4466631,-0.4337773
6.101390839,-0.1643633,0.8018626,0.484138,-0.3037072
6.121403217,-0.09179673,0.8378029,0.5022591,-0.1844514
6.141416550,-0.04262434,0.8515816,0.5110446,-0.09193941
6.161428928,-0.0430718,0.8549744,0.5117181,-0.04399698
6.181441784,-0.04227543,0.8581966,0.5081403,-0.01151974
