Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
3.359641075,-10.65243,-5.05372,0.3660121,0.08781575,-0.2855075,0.7142395,-31.48007,24.66447,9.583583,882.2607
3.379653454,-10.77555,1.147498,1.524142,0.01749855,-0.1397644,0.9698361,-31.48026,23.98665,10.82573,882.264
3.399666786,-25.55057,-3.931595,1.646051,0.05651997,-0.159362,1.051437,-31.48026,23.98665,10.82573,882.264
3.419679165,-11.76055,-8.83351,0.6707832,0.08814033,-0.3066714,0.8691447,-31.48026,23.98665,10.82573,882.264
3.439691544,-53.00748,-7.770445,3.291814,0.01454917,-0.3189684,0.6982825,-30.75394,24.64206,12.07794,882.264
3.459704876,8.924475,-9.128807,-1.096889,0.05177898,-0.1619869,0.9286905,-30.75394,24.64206,12.07794,882.2673
3.479717255,-45.06591,-13.02672,1.402234,0.1797616,-0.4549753,0.7865456,-29.64708,24.621,12.46096,882.2673
3.499730110,-20.74869,-3.281944,1.950822,0.08254938,-0.1603388,0.9457056,-29.64708,24.621,12.46096,882.2705
3.519742966,-17.42431,-10.0147,1.280325,0.1582375,-0.1161593,0.9728702,-29.64708,24.621,12.46096,882.2705
3.539755821,-25.85838,-14.26696,1.463188,0.119239,-0.2024097,0.9483661,-28.96619,23.56398,13.70817,882.2723
3.559768200,-36.75496,-6.707379,2.011776,-0.04527902,-0.2195474,0.796032,-28.96619,23.56398,13.70817,882.2723
3.579781532,-25.36588,0.2616099,2.07273,0.07143489,-0.1255096,1.228099,-26.44745,24.25354,13.73252,882.2756
3.599793911,-38.78653,-15.09379,0.9146,0.09332067,-0.3001028,1.031058,-26.44745,24.25354,13.73252,882.2756
3.619807243,-33.24589,-15.86156,2.255593,0.1554787,-0.2935561,0.9535176,-26.44745,24.25354,13.73252,882.2756
3.639819622,-46.78966,-18.63734,2.011776,0.1329984,-0.3150394,0.9667993,-24.2833,23.11212,14.18416,882.2756
3.659832001,-43.83466,-25.19292,3.291814,0.088835,-0.2573083,1.073913,-24.2833,23.11212,14.18416,882.2773
3.679845333,-36.13933,-7.888563,1.402234,-0.0350249,-0.340835,0.8921642,-23.18218,23.45661,15.0035,882.2773
3.699857712,-45.00434,-11.60929,3.596586,0.1057096,-0.3589708,0.9291536,-23.18218,23.45661,15.0035,882.2803
3.719870567,-33.79995,-9.719399,0.9755543,0.0379228,-0.3779609,0.8147778,-23.18218,23.45661,15.0035,882.2803
3.739882946,-47.52841,-8.656333,2.133684,0.1535465,-0.3445624,0.9709646,-21.76843,23.05965,16.25903,882.2786
3.759896278,-59.7178,-5.998668,-2.98647,0.1361579,-0.4089744,0.8418706,-21.76843,23.05965,16.25903,882.2786
3.779908657,-57.19374,-6.58926,-0.4873469,0.1932913,-0.4333609,0.9031957,-19.60185,21.24226,17.45526,882.2802
3.799921989,-70.79907,4.218578,0.0002867747,0.0776309,-0.3151777,1.084028,-19.60185,21.24226,17.45526,882.2802
3.819934368,-49.92935,-4.285951,7.070976,0.04570525,-0.416708,0.8748695,-19.60185,21.24226,17.45526,882.2802
3.839947700,-53.99248,-12.96766,3.65754,0.1626623,-0.514783,0.8236819,-17.43017,19.05885,18.33956,882.2802
3.859960079,-52.39186,36.0515,2.255593,0.1029198,-0.5115749,0.9182192,-17.43017,19.05885,18.33956,882.2802
3.879972935,-41.37215,65.75829,4.267082,0.1420501,-0.4992622,0.8841377,-14.51665,16.86419,18.73286,882.2816
3.899985313,-20.62556,89.97257,2.926089,0.2577965,-0.4227164,1.320405,-14.51665,16.86419,18.73286,882.2816
3.919998169,-11.82212,37.58704,7.680518,-0.03887175,-0.5793589,0.5954778,-14.51665,16.86419,18.73286,882.2816
3.940011024,4.738219,40.42188,11.21586,0.08482365,-0.5621424,0.9650912,-14.12179,15.08895,17.11446,882.2816
3.960023403,6.646659,23.59,12.92258,-0.08101476,-0.4886852,0.6231565,-14.12179,15.08895,17.11446,882.2781
3.980036736,33.54951,-22.18089,5.486166,0.1299961,-0.5713632,0.7960607,-14.83,12.96782,15.04988,882.2781
4.000049114,27.82419,23.11753,1.889868,0.1001906,-0.2098098,0.9424502,-14.83,12.96782,15.04988,882.2799
4.020062447,19.69793,16.97537,1.828913,0.1566172,-0.5155752,0.9772874,-14.83,12.96782,15.04988,882.2799
4.040074825,9.601663,5.990355,0.4879205,0.02074916,-0.4260317,0.9066028,-16.60297,12.26978,13.7882,882.2781
4.060087681,24.49981,15.67607,2.49941,0.04630119,-0.4012972,0.7725788,-16.60297,12.26978,13.7882,882.2781
4.080100536,8.124161,1.265617,0.5488747,0.03650624,-0.524138,0.8783002,-20.24944,12.69541,15.37394,882.2781
4.100113392,11.14073,-0.6242785,2.377501,0.05956372,-0.6100329,0.8675128,-20.24944,12.69541,15.37394,882.2781
4.120125771,11.26385,-9.246925,-1.950248,0.061439,-0.4910015,0.8491796,-20.24944,12.69541,15.37394,882.2814
4.140139103,-2.526166,-16.33403,-2.498836,0.0884109,-0.5773657,0.8350183,-21.70088,15.89955,16.24037,882.2814
4.160151482,0.7982139,-19.40511,-0.3044843,0.09320027,-0.4811116,0.8488738,-21.70088,15.89955,16.24037,882.2797
4.180163860,-12.80712,-15.56626,-0.6702096,0.0388462,-0.5249742,0.9671932,-22.49478,20.556,18.29836,882.2797
4.200177193,1.229152,-16.0978,0.1831494,0.03655193,-0.5382685,0.8496796,-22.49478,20.556,18.29836,882.2797
4.220189571,-35.95465,-3.636299,-1.82834,0.04346761,-0.4951146,0.7563336,-22.49478,20.556,18.29836,882.2797
4.240202904,-12.80712,-17.1018,-0.3044843,0.1150567,-0.5172378,0.9921252,-22.5331,24.16363,19.11629,882.2779
4.260215283,-43.77309,13.54994,-2.376928,0.002609817,-0.6654648,0.7113198,-22.5331,24.16363,19.11629,882.2779
4.280228138,-2.033665,22.94035,-6.034181,0.09872981,-0.5924223,0.7991741,-23.99768,28.09773,21.16634,882.2813
4.300240517,-21.17963,9.829205,9.326283,0.1354642,-0.6258081,0.7574602,-23.99768,28.09773,21.16634,882.2813
4.320253849,-24.01151,27.0745,6.827159,0.03268095,-0.6252253,0.879384,-26.97251,33.8221,26.06885,882.2794
4.340266228,11.20229,47.74523,4.754715,0.06800262,-0.8878875,0.5425169,-26.97251,33.8221,26.06885,882.2794
4.360279560,-0.3099126,38.29575,4.571853,-0.07723317,-0.4826889,0.7280532,-26.97251,33.8221,26.06885,882.2794
4.380291939,18.89761,21.34575,3.291814,-0.0179487,-0.5703982,0.6685651,-30.31375,42.77565,36.26363,882.2794
4.400304794,15.94261,21.05046,0.7317374,-0.1142898,-0.4994101,1.079993,-30.31375,42.77565,36.26363,882.2794
4.420317650,14.58823,18.39279,2.011776,0.02774653,-0.5800531,0.8865068,-20.77575,53.29063,42.53474,882.2794
4.440330029,22.71449,3.037393,1.524142,-0.220161,-0.5964074,0.5735347,-20.77575,53.29063,42.53474,882.2844
4.460342884,16.49667,6.108473,0.2441037,-0.05400124,-0.462878,0.9080054,-20.77575,53.29063,42.53474,882.2844
4.480355739,16.74292,-17.57428,-0.8530722,0.04644704,-0.5218514,0.7358304,-3.384361,50.577,31.61143,882.2863
4.500368595,15.94261,-14.26696,-0.2435301,-0.009719723,-0.3837707,1.017011,-3.384361,50.577,31.61143,882.2863
4.520380974,-1.848977,-17.33804,-2.255019,0.06204809,-0.5304585,0.7754214,-2.209774,42.33184,22.20778,882.2863
4.540394306,0.5519636,-21.29501,-1.40166,0.06053965,-0.4701368,1.183181,-2.209774,42.33184,22.20778,882.2863
4.560406685,0.9829016,-14.14884,-0.4263927,-0.04647167,-0.5116118,0.7747682,-2.209774,42.33184,22.20778,882.2844
4.580420017,-12.31462,-16.15685,-1.584523,-0.017806,-0.4918388,0.905942,-6.069668,35.25237,19.29314,882.2844
4.600432396,-22.0415,1.560913,-0.8530722,0.09358125,-0.5387478,0.9822202,-6.069668,35.25237,19.29314,882.2827
4.620445251,-3.203354,2.50586,-2.925516,0.08552822,-0.5725856,0.7891533,-10.72254,32.52198,18.80886,882.2827
4.640458107,-23.39588,11.66004,3.413723,-0.02049447,-0.455248,0.6719266,-10.72254,32.52198,18.80886,882.2844
4.660470962,7.816348,26.83826,6.522388,0.0006974612,-0.4819487,0.9577726,-10.72254,32.52198,18.80886,882.2844
4.680483341,30.53294,30.73617,5.059486,-0.03730676,-0.7766346,0.2387601,-14.29733,31.84472,20.45447,882.286
4.700496674,18.77449,45.20568,5.181395,-0.08043142,-0.4222024,0.9101954,-14.29733,31.84472,20.45447,882.286
4.720509052,28.50138,22.05446,2.621318,-0.0187252,-0.5331728,0.8862723,-18.33965,32.99756,25.70834,882.2776
4.740521431,44.13828,13.43182,5.181395,-0.2953721,-0.7445384,0.216027,-18.33965,32.99756,25.70834,882.2776
4.760534763,43.52265,13.90429,0.9755543,0.036572,-0.5120793,0.813663,-18.33965,32.99756,25.70834,882.2809
4.780547142,34.90389,10.83321,1.889868,0.02968452,-0.5358495,0.8690035,-15.51064,37.21167,30.65861,882.2809
4.800559998,51.21797,14.43582,2.316547,-0.152082,-0.5213618,0.8144684,-15.51064,37.21167,30.65861,882.2792
4.820572853,44.01515,1.442794,2.438455,0.02526671,-0.4081861,0.7927493,-5.009574,38.09365,23.41535,882.2792
4.840585709,53.06485,-3.518181,0.9755543,-0.08440166,-0.3575926,0.9145834,-5.009574,38.09365,23.41535,882.2792
4.860598087,46.53922,1.02938,2.194638,-0.05396385,-0.4634071,0.8765988,-5.009574,38.09365,23.41535,882.2792
4.880611420,46.35453,-2.80947,1.950822,0.002460707,-0.3278363,1.009298,-3.144561,33.43558,16.82644,882.2757
4.900623798,36.93545,-10.66435,0.06124099,0.005021965,-0.3765022,0.9446486,-3.144561,33.43558,16.82644,882.2757
4.920637131,32.31826,-4.640306,1.585096,-0.004631845,-0.3432031,0.8173533,-5.993967,30.68556,13.12389,882.2724
4.940649509,56.45079,-7.947622,-0.2435301,0.01949974,-0.251454,1.011431,-5.993967,30.68556,13.12389,882.2724
4.960662365,50.29453,-8.479156,-0.2435301,-0.02587353,-0.2585911,0.9474647,-5.993967,30.68556,13.12389,882.2706
4.980675220,36.31983,-6.707379,1.280325,-0.06728479,-0.3531432,0.9025939,-8.50073,29.63485,11.48152,882.2706
5.000688076,43.95359,-5.939609,0.1831494,-0.06997029,-0.2354027,1.02289,-8.50073,29.63485,11.48152,882.2739
5.020700455,39.89046,-8.656333,-1.157843,-0.1010226,-0.324185,0.8930699,-10.27796,28.9338,11.02838,882.2739
5.040713787,58.72861,-10.42811,0.1831494,-0.1023069,-0.1757792,1.046476,-10.27796,28.9338,11.02838,882.2722
